Rk,Team,Conf_x,W-L,BPI Off,BPI Def,BPI,Year_x,Conf_y,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,Year_y
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
11,Kansas,Big 12,27-8,8.8,6.1,14.9,2009,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
11,Kansas,Big 12,27-8,8.8,6.1,14.9,2009,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
11,Kansas,Big 12,27-8,8.8,6.1,14.9,2009,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
11,Kansas,Big 12,27-8,8.8,6.1,14.9,2009,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
11,Kansas,Big 12,27-8,8.8,6.1,14.9,2009,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
11,Kansas,Big 12,27-8,8.8,6.1,14.9,2009,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
11,Kansas,Big 12,27-8,8.8,6.1,14.9,2009,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
2,Kansas,Big 12,33-3,13.4,7.8,21.2,2010,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
2,Kansas,Big 12,33-3,13.4,7.8,21.2,2010,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
2,Kansas,Big 12,33-3,13.4,7.8,21.2,2010,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
2,Kansas,Big 12,33-3,13.4,7.8,21.2,2010,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
2,Kansas,Big 12,33-3,13.4,7.8,21.2,2010,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
2,Kansas,Big 12,33-3,13.4,7.8,21.2,2010,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
2,Kansas,Big 12,33-3,13.4,7.8,21.2,2010,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
7,Kansas,Big 12,25-10,11.0,4.8,15.8,2014,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
7,Kansas,Big 12,25-10,11.0,4.8,15.8,2014,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
7,Kansas,Big 12,25-10,11.0,4.8,15.8,2014,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
7,Kansas,Big 12,25-10,11.0,4.8,15.8,2014,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
7,Kansas,Big 12,25-10,11.0,4.8,15.8,2014,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
7,Kansas,Big 12,25-10,11.0,4.8,15.8,2014,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
7,Kansas,Big 12,25-10,11.0,4.8,15.8,2014,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016.0
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017.0
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,55.6,48.6,40.1,33.3,69.9,8.2,2018.0
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9.0,2015.0
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,8.3,2019.0
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2014.0
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,2013.0
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008,Amer,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,2016.0
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008,Amer,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,2017.0
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008,Amer,107.6,106.0,0.5439,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37.0,67.4,-4.4,2018.0
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008,Amer,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,2019.0
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008,Amer,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,2014.0
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,2013.0
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009,Amer,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,2016.0
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009,Amer,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,2017.0
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009,Amer,107.6,106.0,0.5439,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37.0,67.4,-4.4,2018.0
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009,Amer,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,2019.0
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009,Amer,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,2014.0
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,2013.0
46,Memphis,C-USA,24-10,6.0,4.0,9.9,2010,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
46,Memphis,C-USA,24-10,6.0,4.0,9.9,2010,Amer,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,2016.0
46,Memphis,C-USA,24-10,6.0,4.0,9.9,2010,Amer,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,2017.0
46,Memphis,C-USA,24-10,6.0,4.0,9.9,2010,Amer,107.6,106.0,0.5439,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37.0,67.4,-4.4,2018.0
46,Memphis,C-USA,24-10,6.0,4.0,9.9,2010,Amer,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,2019.0
46,Memphis,C-USA,24-10,6.0,4.0,9.9,2010,Amer,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,2014.0
46,Memphis,C-USA,24-10,6.0,4.0,9.9,2010,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,2013.0
76,Memphis,C-USA,25-10,4.5,1.3,5.8,2011,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
76,Memphis,C-USA,25-10,4.5,1.3,5.8,2011,Amer,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,2016.0
76,Memphis,C-USA,25-10,4.5,1.3,5.8,2011,Amer,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,2017.0
76,Memphis,C-USA,25-10,4.5,1.3,5.8,2011,Amer,107.6,106.0,0.5439,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37.0,67.4,-4.4,2018.0
76,Memphis,C-USA,25-10,4.5,1.3,5.8,2011,Amer,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,2019.0
76,Memphis,C-USA,25-10,4.5,1.3,5.8,2011,Amer,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,2014.0
76,Memphis,C-USA,25-10,4.5,1.3,5.8,2011,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,2013.0
12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,Amer,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,2016.0
12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,Amer,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,2017.0
12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,Amer,107.6,106.0,0.5439,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37.0,67.4,-4.4,2018.0
12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,Amer,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,2019.0
12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,Amer,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,2014.0
12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,2013.0
38,Memphis,C-USA,31-5,6.9,3.5,10.4,2013,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
38,Memphis,C-USA,31-5,6.9,3.5,10.4,2013,Amer,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,2016.0
38,Memphis,C-USA,31-5,6.9,3.5,10.4,2013,Amer,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,2017.0
38,Memphis,C-USA,31-5,6.9,3.5,10.4,2013,Amer,107.6,106.0,0.5439,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37.0,67.4,-4.4,2018.0
38,Memphis,C-USA,31-5,6.9,3.5,10.4,2013,Amer,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,2019.0
38,Memphis,C-USA,31-5,6.9,3.5,10.4,2013,Amer,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,2014.0
38,Memphis,C-USA,31-5,6.9,3.5,10.4,2013,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,2013.0
35,Memphis,American,24-10,7.3,2.7,10.0,2014,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
35,Memphis,American,24-10,7.3,2.7,10.0,2014,Amer,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,2016.0
35,Memphis,American,24-10,7.3,2.7,10.0,2014,Amer,105.8,100.5,0.6442,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70.0,-3.4,2017.0
35,Memphis,American,24-10,7.3,2.7,10.0,2014,Amer,107.6,106.0,0.5439,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37.0,67.4,-4.4,2018.0
35,Memphis,American,24-10,7.3,2.7,10.0,2014,Amer,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,2019.0
35,Memphis,American,24-10,7.3,2.7,10.0,2014,Amer,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,2014.0
35,Memphis,American,24-10,7.3,2.7,10.0,2014,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,2013.0
71,Memphis,American,18-14,2.5,3.8,6.2,2015,Amer,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37.0,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,2015.0
